communityname,State,pop,perHoush,pct12-21,pct12-29,pct16-24,pct65up,medIncome,pctNotHSgrad,pctCollGrad,pctUnemploy,pctAllDivorc,persHomeless,violentPerPop
Spencercity,IA,11066,2.41,13.55,24.23,10.99,14.15,24573,14.7,16.09,1.83,9.79,0,0
Oswegocity,NY,19195,2.59,16.73,32.15,19.37,14.3,23986,26.92,19.63,8.23,8.7,11,5.35
Cranberrytownship,PA,14816,2.85,12.14,25.19,9.85,6.51,41006,9.51,29.48,4.56,7.53,0,6.64
Ogdensburgcity,NY,13521,3.1,14.24,29.81,14.54,12.98,23394,32.03,11.85,9.22,10.92,0,7.6
Harvardtown,MA,12329,4.14,21.91,39.12,23.98,2.43,47299,2.93,42.39,1.66,5.49,0,7.79
Warrentown,RI,11385,2.53,11.4,23.92,10.96,15.67,31637,30.69,15.29,5.21,9.43,0,8.82
Polandtownship,OH,13993,2.81,13.2,20.6,10.18,14.26,36132,12.54,26.83,4.29,4.51,0,8.85
Simsburytown,CT,22023,2.78,13.6,22.7,10.77,9.06,64538,5.48,56.03,2.63,6.52,0,9.07
Mequoncity,WI,18885,3.02,14.86,21.82,11.54,9.84,60900,7.47,48.85,2.84,4.41,0,9.24
PeachtreeCitycity,GA,19027,3.06,15.53,22.59,10.01,5.92,53514,5.7,37.87,4.22,6.46,0,11.72
Greenwoodcity,IN,26265,2.48,13.1,28.01,13.1,10.1,32994,17.31,18.67,2.65,12.76,0,13.07
Norwalkcity,OH,14731,2.6,13.66,26.83,13.13,12.18,25587,26.39,11.71,7.78,12.41,0,13.1
Lexingtontown,MA,28974,2.76,11.24,20.23,9.83,14.14,67389,6.04,58.73,3.48,6.43,0,13.32
Ringwoodborough,NJ,12623,3.19,14.79,25.61,12.91,5.56,60026,10.49,31.87,5.57,6.06,0,15.03
Milfordtown,MA,25355,2.71,13.05,27.09,12.85,11.67,38180,23.28,23.37,6.78,8.98,0,15.14
Indianolacity,IA,11340,2.74,19.22,30.63,18.04,12.14,28815,14.19,21.79,3.34,9.09,0,15.86
Gorhamtown,ME,11856,3.03,20.11,31.45,19.01,8.63,36618,13.97,26,5.73,9.06,0,16.72
Warwicktownship,PA,11622,2.93,13.05,24.37,10.54,8.14,41338,22.37,19.43,2.44,6.32,0,16.92
Goshentown,NY,11500,3.34,15.07,26.62,13.39,10.69,46566,22.42,24.07,4.9,8.29,0,17.24
Urbandalecity,IA,23500,2.61,12.11,25.66,11.4,6.89,42686,4.24,37.46,2.21,9.07,0,17.62
Oronotown,ME,10573,4.31,47.94,63.35,55.71,5.89,27922,11.33,50.88,4.86,4.68,0,18.87
Peterstownship,PA,14467,2.93,12.69,20.11,9.47,9.68,53045,7.86,38.97,3.39,4.81,0,20.39
Perrysburgcity,OH,12551,2.61,14,23.66,10.56,10.49,44277,9.53,40.05,3.98,7.36,0,21.66
Merrimacktown,NH,22156,2.98,14.36,27.04,11.88,4.42,52798,8.82,33.01,5.03,7.9,0,22.33
LowerMakefieldtownship,PA,25083,2.93,12.98,21.21,10.08,7.84,69904,5.62,53.32,2.95,5.72,0,23.52
Scherervilletown,IN,19926,2.69,13.7,26.8,11.81,6.82,42658,12.75,25.25,3.3,8.8,0,24.29
Oaklandborough,NJ,11997,3.07,13.15,23.77,12.09,7.79,63384,11.77,36.54,2.99,5.66,0,24.59
Hartsellecity,AL,10795,2.63,15.03,25.72,12.11,11.96,28693,29.44,14.25,5.6,10.36,0,25.51
Danvillecity,CA,31306,2.83,13.81,21.1,9.95,7.67,74472,4.27,48.33,2.41,8.44,0,25.7
Colchestertown,VT,14731,2.92,20.52,36.22,21.31,5.31,39308,10.21,28.3,3.76,9.7,0,26.17
Darientown,CT,18196,2.84,11.49,19.99,9.83,11.89,89395,6.27,59.34,3.31,5.78,0,27.07
Viennacity,WV,10862,2.41,12.73,22.32,10.38,15.56,31613,18.05,20.94,4.53,8.36,0,27.11
Germantowncity,TN,32893,3.07,16.62,21.53,10.63,5.06,69019,2.78,53.52,2.28,5.55,0,27.49
Medfieldtown,MA,10531,3.07,12.84,22.5,11.15,7.47,66084,6.77,49.08,4.2,5.85,0,27.66
Brunswicktown,ME,20906,2.71,16.78,31.64,18.19,11.71,30896,16.48,26.51,3.88,9.52,0,28.45
Newtowntown,CT,20779,3.06,13.35,22.6,11.01,8.03,60830,11.43,39.72,4.61,7.09,0,28.45
Muskegocity,WI,16813,3.02,14.58,25.15,11.33,7.6,46119,13.6,18.34,2.93,5.67,0,29.8
Greenfieldcity,IN,11657,2.74,14.18,27.12,12.71,12.04,29042,24.39,13.01,4.44,11.78,0,30.44
Warsawcity,IN,10968,2.61,13.42,27.01,12.17,12.49,29978,23.7,17.85,3.47,11.6,0,30.66
Cheshiretown,CT,25684,3.08,15.46,25.18,13.84,10.18,58250,11.06,42.74,3.53,6.59,0,30.76
Bedfordtown,NH,12563,3.14,15.39,21.75,10.85,7.89,63782,10.34,42.97,3.83,5.17,0,31.51
Colleyvillecity,TX,12724,3.11,15.97,21.16,10.79,4.11,77530,6.98,45.54,3.12,5.15,0,31.75
Hillsboroughtownship,NJ,28808,2.86,11.68,24.31,10.08,5.19,59069,8.55,43.63,3.46,7.54,0,32.29
Ashlandcity,OH,20079,2.63,17.12,29.18,17.06,13.81,24536,23.68,18.11,6.47,10.96,0,33.01
Ryecity,NY,14936,2.75,11.94,22.13,10.39,12.61,69695,9.91,51.24,2.55,6.38,0,33.38
Sanfordtown,ME,20463,2.67,13.4,26.11,11.67,11.81,27824,27.39,11.57,7.09,11.25,0,33.66
VestaviaHillscity,AL,19749,2.56,12.75,21.28,10.31,14.36,49858,5.07,53.18,2.54,7.8,0,34.98
WhitefishBayvillage,WI,14272,2.62,10.52,18.06,7.43,12.65,53539,4.46,61.25,1.96,6.41,0,35.26
Dickinsoncity,ND,16097,2.6,14.85,27.13,13.27,12.19,21615,25.32,16.81,4.88,7.8,0,36.89
Moundsvillecity,WV,10753,2.53,13.06,23.38,11.62,17.01,20036,35.59,8.71,9.34,12.41,0,36.91
Montvilletownship,NJ,15600,3.19,14.99,24.83,13.06,8.19,74825,11.91,38.37,4.7,5.23,0,37.13
Hinghamtown,MA,19821,2.87,13.98,23.41,12.09,11.26,60274,5.83,48.2,5.9,6.27,0,37.95
Yorktowntown,NY,33467,3,13.24,23.48,11.79,10.34,59633,11.64,35.9,3.39,5.33,0,38.38
Belmonttown,MA,24720,2.56,10.06,23.99,10.61,15.82,53488,8.35,54.74,3.87,6.36,0,39.02
Scituatetown,MA,16786,2.78,12.28,22.69,11.38,11.62,52044,6.75,39.95,4.75,8,0,39.21
Concordtown,MA,17076,3,11.51,22.73,10.95,11.34,69917,7.21,55.95,3.96,8.81,0,39.54
Brecksvillecity,OH,11818,2.77,10.63,17.83,8.49,13.38,53396,9.43,41.57,3.78,7.65,0,39.71
Menomoniecity,WI,13547,3.13,31.69,52.12,42.5,9.81,21392,19.79,30.23,7.56,5.29,0,39.87
Marshallcity,MO,12711,2.7,17.14,29.09,16.32,14.17,21496,33.6,15.18,5.42,12.27,0,39.92
Londonderrytown,NH,19781,3.1,14.53,25.3,10.9,3.82,52882,8.76,33.42,5.13,7.69,0,40.02
Scotttownship,PA,17118,2.29,8.93,23.8,10.63,16.44,34644,16.84,29.72,3.05,7.8,0,40.21
BerkeleyHeightstownship,NJ,11980,3.1,12.47,21.44,10.93,11.33,75122,9.9,48.18,2.7,4.47,0,41.02
Northamptontownship,PA,35406,3.19,16.8,26.82,13.38,6.26,59285,8.68,37.23,2.76,4.66,0,41.65
Whitehallborough,PA,14451,2.35,9.95,20.47,9.91,20.45,34183,13.26,29.31,4.11,7.82,0,42.54
Avontown,CT,13937,2.6,11.2,19.39,9.54,11.82,66602,7.26,52.37,2.09,6.63,0,43.01
Wiltontown,CT,15989,2.87,13.04,19.73,10.01,9.26,87686,5.34,62.17,3.83,5.99,0,43.13
Sheltontown,CT,35418,2.84,12.09,24.14,11.51,10.81,49965,16.88,23.93,4.44,6.95,0,43.35
WestFargocity,ND,12287,2.77,15.72,28.99,13.12,5.31,29661,14.45,14.91,4.1,9.98,0,43.37
Randolphtownship,NJ,19974,2.88,14.62,25.52,11.9,5.79,64403,8.77,48.1,3.32,6.83,0,43.5
Suffieldtown,CT,11427,2.74,13.25,22.59,11.04,12.44,50714,12.49,30.49,3.46,7.58,0,43.71
Wyckofftownship,NJ,15372,3.04,13.09,21.16,10.79,12.05,75905,9.95,45.5,2.25,4.23,0,43.98
Longmeadowtown,MA,15467,2.89,15.52,21.48,11.99,13.28,63203,5.98,51.96,3.51,4.64,0,44.06
Coppellcity,TX,16881,2.81,9.97,24.67,7.77,1.66,58815,5.29,46.99,2.28,9.15,0,44.22
MountainBrookcity,AL,19810,2.52,10.97,18.84,8.28,14.82,65372,2.95,67.41,1.85,5.91,0,44.32
Menashacity,WI,14638,2.46,12.22,28.04,12.11,11.76,27264,21.46,11.41,4.43,11.12,0,44.64
Guilfordtown,CT,19848,2.76,12.91,20.95,10.11,8.97,56115,8.6,43.2,3.69,8.46,0,44.79
NorthOgdencity,UT,11668,3.67,20.5,28.87,12.98,6.09,41178,6.32,31.19,4.34,5.17,0,44.86
Tenaflyborough,NJ,13326,2.82,13.18,20.7,10.14,14.18,68742,8.76,55.5,2.69,5.78,0,44.92
TwoRiverscity,WI,13030,2.52,13.2,23.98,11.36,14.81,25710,24.22,11.19,4.57,7.78,0,45.13
Brookingscity,SD,16270,2.86,29.33,48.62,36.95,8.87,20184,15.55,34.66,3.91,5.54,0,45.89
Salemcity,OH,12233,2.44,12.56,23.9,11.25,16.38,23684,26.28,9.37,5.19,11.74,0,46.52
Willistoncity,ND,13131,2.56,13.81,24.03,10.78,12.99,22407,23.6,17.45,5.88,9.2,0,46.85
Arkadelphiacity,AR,10014,2.9,27.36,41.51,31.31,12.97,16848,27.6,29.64,5.68,8.25,0,47.11
Wallingtonborough,NJ,10828,2.32,10.3,25.66,11.61,16.04,32332,30.42,15.79,8.03,9.45,0,47.43
Stoningtontown,CT,16919,2.41,11.09,22.96,10.71,14.97,39651,19.73,26.56,5,9.64,0,47.5
Tivertontown,RI,14312,2.69,13.09,24.14,12.08,13.46,36170,29.53,19.05,5.39,7.11,0,48.01
Caledoniatown,WI,20999,2.98,14.63,25.18,12.21,8,43244,17.41,21.03,4.44,6.63,0,48.33
Wausaucity,WI,37060,2.52,12.47,25.13,12.04,15.05,25505,24.61,17.42,3.99,9.04,0,48.58
NewProvidenceborough,NJ,11439,2.7,9.9,21.33,10.02,12.28,62420,9.49,48.6,2.71,5.8,0,49.56
NewCanaantown,CT,17864,2.75,12.61,21.03,10.11,11.85,91951,5.11,62.6,2.77,6.62,0,49.63
Amsterdamcity,NY,20714,2.36,11.35,23.13,11.19,21.15,22166,31.33,12.33,8.97,10.7,0,49.93
Madisonborough,NJ,15850,2.94,20.35,33.74,22.09,11.91,56478,12.51,49.26,3.51,6.2,0,50.49
Readingtontownship,NJ,13400,2.91,13.43,24.63,11.81,7.43,62548,13.03,35.45,2.68,5.74,0,51.04
Orindacity,CA,16642,2.64,10.46,15.77,7.6,15.08,80968,2.95,66.02,2.98,7.49,0,51.42
Spartatownship,NJ,15157,2.92,14.48,22.83,11.08,7.45,63032,6.87,42.62,3.85,6.44,0,51.57
ChippewaFallscity,WI,12727,2.49,11.95,25.43,11.89,14.93,23056,25.73,13.05,6.85,10.14,0,51.91
Greenwichtown,CT,58441,2.63,11.18,22.08,10.5,14.2,65072,11.26,48.97,3.8,7.73,3,52.25
Winchestertown,MA,20267,2.78,11.31,22.26,10.57,13.26,65994,5.96,54.85,3.64,5.88,0,52.35
Butlertownship,PA,17625,2.58,11.95,21.26,10.76,17.48,31503,20.07,18.13,5.17,7.62,0,52.95
NorthBranfordtown,CT,12996,2.9,12.67,24.15,11.24,9.03,50798,15.75,25.25,2.81,6.47,0,53.2
Glastonburytown,CT,27901,2.64,12.18,21.94,10.52,10.62,57464,9.41,46.21,2.84,7.7,0,53.7
Rexburgcity,ID,14302,4.18,47.87,63.14,53.34,4.21,19183,11.88,19.93,8.7,2.83,0,53.73
PomptonLakesborough,NJ,10539,2.68,11.51,24.41,10.92,12.63,48864,20.26,23.4,3.61,8.65,0,54.25
Onalaskacity,WI,11284,2.66,13.68,26.69,12.5,8.32,32624,13.91,26.83,2.91,9.13,0,54.75
CrownPointcity,IN,17728,2.76,12.78,23.63,11.04,13.59,37539,17.03,20.94,5.35,8.39,0,54.99
Newberrytownship,PA,12003,2.77,14.01,27.96,12.06,6.12,35005,22.42,14.09,2.96,10.04,0,55.23
Hilltowntownship,PA,10582,2.97,12.97,23.99,11.1,9.22,44717,16.51,23.51,1.98,6.39,0,55.76
EastHamptontown,CT,10428,2.77,11.6,23.91,10.73,7.73,48000,16.4,27.78,4.18,9.34,0,55.83
Brookfieldtown,CT,14113,2.86,13.48,24.16,11.38,7.48,60054,9.47,41.24,4.14,7.16,0,55.84
Raritantownship,NJ,15616,2.83,10.82,23.03,9.46,7.24,61524,10.04,42.03,2.46,7.12,0,56.31
UpperGwyneddtownship,PA,12197,2.94,13.52,23.22,11.04,9.2,56543,12.41,40.79,2.09,6.39,0,56.43
Montgomerytownship,PA,12179,2.66,9.28,21.33,8.42,11.93,52193,12.21,35.98,2.8,6.97,0,56.51
Warringtontownship,PA,12169,2.89,13.98,27.62,12.6,7.34,47284,10.18,26.83,3.88,8.36,0,56.56
Dumontborough,NJ,17187,2.78,11.85,24.29,11.43,14.03,48776,18.96,20.95,4.09,5.91,1,57.31
ClevelandHeightscity,OH,54052,2.57,13.84,26.73,12.78,10.88,36043,11.92,45.02,4.81,11.01,0,57.79
SevenHillscity,OH,12339,2.72,11.43,20.29,10.89,20.31,42240,21.79,16.85,4.43,3.77,0,57.88
Strongsvillecity,OH,35308,2.87,14.25,23.88,11.21,7.39,50916,10.46,30.22,3.59,6.77,0,58.2
Radnortownship,PA,28703,2.92,24.9,36.41,26.05,11.79,51762,7.03,58.16,3.49,5.65,0,58.23
BethelParkborough,PA,33823,2.66,11.26,21.33,9.85,12.53,41149,10.34,33.23,3.78,6.35,0,58.24
Soloncity,OH,18548,2.93,13.47,21.37,10.2,9.66,54005,11.44,38.03,2.32,5.53,0,58.37
Southingtontown,CT,38518,2.8,13.69,24.95,12.5,11.01,47106,20.84,21.82,3.83,7.33,0,59.64
Hollistontown,MA,12926,3.02,14.51,24.52,12.3,6.04,58018,6.28,41.14,5.24,5.98,0,59.7
Girardcity,OH,11304,2.43,12,23.99,11.3,17.24,23999,29.14,12.54,7.86,10.58,0,60.84
Alpharettacity,GA,13002,2.47,11.05,27.67,11.56,6.1,44335,7.51,36.94,2.63,12.84,0,60.9
Germantownvillage,WI,13658,2.77,13.37,27.32,11.96,6.8,43486,12.77,21.7,2.6,8.09,0,61.12
Rostravertownship,PA,11224,2.6,13.02,22.72,11.14,14.95,25615,22.71,13.11,10.57,7.67,0,61.33
Sylvaniacity,OH,17301,2.74,13.96,23.08,10.97,10.2,46353,8.31,37.73,4.44,8.25,0,61.66
FortThomascity,KY,16032,2.53,11.91,23.09,10.78,15.49,36977,14.31,30.13,3.09,7.67,0,61.69
Hillsboroughtown,CA,10667,2.94,13.87,19.72,10.74,15.49,123625,3.94,56.7,2.52,4.2,0,62.03
Glasgowcity,KY,12351,2.46,12.99,24.29,11.65,17.5,17805,46.73,10.51,9.08,12.14,0,62.14
Stephenvillecity,TX,13502,2.45,24.03,39.51,27.56,13.92,18346,23.7,27.65,7.18,9.27,0,62.17
Westlakecity,OH,27018,2.63,11.83,21.92,9.66,13.15,47629,10.13,37.68,3.03,7.5,0,62.29
Springtownship,PA,18899,2.63,12.09,22.19,10,13.56,41491,15.13,27.5,2.61,7.73,0,62.43
Crawfordsvillecity,IN,13584,2.47,15.84,29.06,16.21,15.03,23156,23.5,13.68,5.83,12.72,0,62.53
Exetertown,NH,12481,2.51,11.02,24.07,10.19,13.08,36121,13.67,32.04,5.77,10.47,0,63.43
Troycity,AL,13051,2.79,26.91,40.37,29.39,12.15,17254,32.68,22.56,7.55,8.55,0,63.81
Dublincity,OH,16366,2.96,12.56,18.83,7.72,3.98,71996,2.09,58.44,1.32,6.28,0,64.07
Appletoncity,WI,56177,2.62,13.79,27.16,12.77,11.21,32375,15.51,23.84,3.85,8.91,0,64.14
NorthReadingtown,MA,12002,2.95,12.56,24.35,11.83,8.02,52707,13.22,27.64,5.44,6.57,0,64.3
Trumbulltown,CT,32016,2.95,12.42,21.68,10.88,14.1,60634,16.25,36,4.41,4.67,0,64.61
Brentwoodcity,TN,16392,3.11,17.02,22.02,10.85,5.52,70287,4.95,54.34,3.1,4.82,0,64.88
Sacocity,ME,15181,2.54,12.92,26.84,12.38,12.05,32655,19.37,20.74,5.98,10.09,0,64.94
Westerlytown,RI,21605,2.55,11.78,26.23,12.27,14.94,34844,24.37,20.43,7.34,9.05,0,65.03
Berlintown,CT,16787,2.79,11.66,21.27,10.23,14.64,49004,17.63,22.86,4.18,6.47,0,65.46
Ankenycity,IA,18482,2.74,16.87,32.59,16.91,4.77,36582,6.14,29.1,2.07,8.41,0,65.71
UpperAllentownship,PA,13347,3.01,23.23,34.17,23.29,10.3,43598,10.82,32.74,3.42,6.14,0,66.3
Dovercity,OH,11329,2.56,11.51,20.98,9.55,16.77,27688,21.93,14.26,6.74,9.89,0,66.33
LakeJacksoncity,TX,22776,2.8,13.51,25,10.78,6.54,46007,9.77,33.3,3.28,8.71,0,66.52
Canyoncity,TX,11365,2.72,24.18,40.4,26.74,8.55,23184,14.6,39.07,5.8,9.04,0,66.79
Jacksontownship,NJ,33233,2.99,13.22,27.04,11.92,8.65,44690,20.48,16.29,5.68,7.35,0,67.2
Farmingtontown,CT,20608,2.51,9.41,21.17,9.1,13.14,52979,11.13,43.58,3.47,8.53,0,67.86
Clintontown,CT,12767,2.74,13.45,24.99,11.69,8.99,45884,14.15,26.46,4.84,9.91,0,68.39
Middletowntownship,NJ,68183,3.01,14.45,24.87,12.42,10.6,54053,15.09,29.77,4.65,5.9,0,68.68
Haddonfieldborough,NJ,11628,2.59,11.7,20.42,9.6,15.35,56585,8.86,55.62,1.78,6.74,0,68.71
Anacortescity,WA,11451,2.45,10.52,19.07,8.23,19.35,28919,18.63,15.13,8.03,11.68,0,68.8
Goshentownship,OH,12697,2.99,14.78,28.07,12.93,6.4,31617,37.21,6.79,5.71,10.01,0,69
Franklintown,MA,22095,2.98,15.88,29.14,15.12,7.31,50679,12.24,30.74,5.23,6.7,0,69.34
Towamencintownship,PA,14167,2.72,13.42,23.91,10.99,9.47,48547,12.43,36.62,2.64,8.09,0,69.41
Westwoodtown,MA,12557,2.83,12.3,22.83,12.42,14.74,58559,7.55,46.14,5.03,4.61,0,69.58
Hazlettownship,NJ,21976,3.07,14.29,25.46,12.86,10.27,50684,20.92,17.93,5.12,6.27,0,69.59
Wakefieldtown,MA,24825,2.67,11.38,24.48,11.5,13.95,43960,13.31,26.03,6.39,7.2,0,69.94
Vermilioncity,OH,11127,2.8,14.72,25.34,11.93,9.95,37500,19.1,16.87,4.74,9.52,0,70.08
Moontownship,PA,19631,2.72,14.74,27.2,14.43,8.54,42016,10.4,29.51,4.14,8.08,0,70.12
SpringGardentownship,PA,11207,2.72,18.69,26.72,17.82,18.33,37044,16.3,30.35,2.8,6.47,0,70.19
Jeffersontownship,NJ,17825,2.82,12.38,24.91,11.1,7.36,48889,12.9,25.01,2.94,8.64,0,70.4
WestWhitelandtownship,PA,12403,2.7,12.24,27.88,11.74,6.77,50598,6.44,44.02,3.06,7.87,0,71.35
RidgefieldParkvillage,NJ,12454,2.51,10.49,27.03,12.12,12.44,42464,21.54,21.32,4.59,8.07,0,71.54
Branfordtown,CT,27603,2.37,9.89,23.65,10.39,13.71,43578,14.02,32.62,4.11,10.85,35,71.56
Auburncity,ME,24309,2.55,13.27,25.93,12.62,13.12,27493,23.27,19.08,6.69,11.77,0,72.71
Melrosecity,MA,28150,2.57,11.48,24.15,11.43,14.49,44109,12.3,31.39,4.8,7.27,0,73.07
Centertownship,PA,10742,2.77,12.99,23.77,11.61,10.41,34978,18.18,18.58,4.72,7.18,0,73.23
Yorktownship,PA,19231,2.48,11.67,22.6,10.81,14.22,37058,19.81,22.83,2.43,8.47,0,73.27
Princetontownship,NJ,13198,2.55,10.18,22.31,9.41,13.46,62288,5.24,73.63,3.58,7.35,0,73.73
Delhitownship,OH,30250,3.12,15.83,26.36,13.38,10.17,41726,17.66,20.9,2.94,5.73,0,74
SunPrairiecity,WI,15333,2.74,13.82,27.52,12.14,8.57,35301,16.07,20.89,2.75,9.73,0,74.08
LaCrossecity,WI,51003,2.55,20.07,36.37,24.03,13.44,21947,19.28,21.43,6.24,9.22,0,74.09
Lancastertownship,PA,13187,2.47,10.16,23.25,10.96,18.77,35855,21.66,27.84,3.31,9.55,0,74.56
Greendalevillage,WI,15128,2.71,14.18,23.6,12.1,10.77,44735,10.83,29.54,2.38,6.88,0,74.62
Kaukaunacity,WI,11982,2.75,13.1,26.42,11.07,12.1,30743,21.81,10.72,5.09,7.47,0,74.96
Lincolntown,RI,18045,2.56,11.49,22.99,10.91,16.26,37082,23.89,22.57,4.91,7.38,0,75.22
Middletoncity,WI,13289,2.33,11.69,28.35,12.57,8.67,34859,7.56,42.18,2.06,11.35,0,75.52
Bernardstownship,NJ,17199,2.71,10.1,20.83,8.73,10.59,70000,6.81,54.86,2.86,7.89,0,75.72
Smithfieldtown,RI,19163,3.12,20.81,31.28,21.25,11.18,42523,19.22,25.24,4.82,6.38,0,75.88
Vermillioncity,SD,10034,3.06,35.63,54.39,43.25,6.54,16478,13.14,44.25,6.8,5.96,0,76.24
Oremcity,UT,67561,3.84,19.58,32.66,15.41,5.62,31262,10.02,30.45,4.35,5.85,0,76.24
Searcycity,AR,15180,2.9,23.54,37.19,25.92,14.14,20859,28.18,21.71,5.51,8.35,0,76.49
Wadsworthcity,OH,15718,2.6,12.74,23.8,10.71,13.4,32141,20.44,22.69,5.68,9.16,0,76.88
Branchburgtownship,NJ,10888,2.91,12.78,23.28,10.76,6.41,67833,10.31,42.98,3.85,6,0,76.9
Haverfordtownship,PA,49848,2.81,13.05,23.6,12.45,15.8,48210,12.66,37.63,2.81,5.58,0,76.92
Hawthorneborough,NJ,17084,2.5,10.14,24.39,11.06,15.73,43109,22.97,22.52,3.95,7.51,0,77.05
FortPaynecity,AL,11838,2.48,13.58,25.18,11.79,14.17,20518,40.87,10.8,3.72,12.83,0,77.77
Ballwincity,MO,21816,2.78,13.3,24.74,10.96,7.94,46654,9.57,36.34,2.24,7.76,0,78.56
Newingtontown,CT,29208,2.6,11.37,23.38,11.09,15.64,45481,20.02,24.89,3.44,8.57,0,78.65
GlenRockborough,NJ,10883,2.83,11.31,19.12,8.98,14.11,65976,6.02,53.23,2.24,4.9,0,78.88
Laceytownship,NJ,22141,2.78,13.45,22.99,10.72,16.31,37397,23.05,13.76,6.1,6.9,0,78.94
Mentorcity,OH,47358,2.83,13.62,23.89,11.09,8.8,42095,14.04,22.32,3.86,8.25,0,79.56
FortAtkinsoncity,WI,10227,2.57,12.7,24.24,10.41,13.58,28892,18.98,21.38,3.6,9.24,0,79.71
FairLawnborough,NJ,30548,2.66,10.77,20.02,9.29,18.45,49658,18.7,30.35,3.76,5.63,0,79.76
SanRamoncity,CA,35303,2.75,14.1,26.5,12.01,4.06,63607,4.62,42.86,2.77,10.55,0,79.79
Somersworthcity,NH,11249,2.57,12.37,28.8,13.62,10.4,32886,25.29,13.57,5.32,12.04,0,80.12
Mahwahtownship,NJ,17905,2.63,13.66,30.57,15.04,7.53,56468,10.36,43.34,3.98,7.91,0,80.24
Walltownship,NJ,20244,2.75,13.27,22.82,11.21,12.68,46301,15.89,26.83,4.45,8.01,0,80.26
Shalertownship,PA,30533,2.63,10.86,22.15,10.31,14.78,36972,17.7,21.18,3.8,5.69,0,80.5
Colliervilletown,TN,14427,3.26,16.43,24.59,11.17,5.28,47517,16.88,25.62,2.65,7.03,0,80.61
Naugatucktown,CT,30625,2.7,12.72,27.14,12.15,11,39902,21.84,17.02,5.21,9.07,0,80.73
Ridgewoodvillage,NJ,24152,2.89,13.64,22.18,10.86,11.06,75221,6.57,56.4,3.11,5.56,0,80.84
