Year	Price	Miles
2001	12500	113344
2001	11995	66000
2000	9900	139547
2000	8999	114430
2000	7999	107689
1999	7995	151420
2001	7795	116025
2001	7490	85565
2000	6995	167489
1996	6750	106000
1994	6490	67052
1999	6000	116874
1999	5999	150300
1999	5990	125397
2000	5800	117000
1994	5495	127136
2000	5400	142212
2000	5095	100619
2001	5000	50007
2000	4995	129902
2000	4995	143313
1992	4995	155622
2001	4995	182057
1999	4993	152861
2000	4980	103002
1997	4883	158980
2001	4500	144369
2000	4500	151500
1994	4500	198000
2000	4200	104367
1998	4000	99719
1998	3997	200112
1997	3995	121450
1997	3995	135480
2000	3995	174924
1994	3795	297260
1997	3490	177558
1995	2999	139941
1996	2999	226654
1997	2995	107020
1990	2995	164980
1996	2995	222116
1998	2980	265577
1998	2800	162994
1996	2698	149904
1996	2650	93663
1998	2500	147620
2000	2495	187562
1996	2450	177204
1997	2300	80000
1994	2000	107000
1998	2000	209079
1990	1600	261460
1995	1595	185444
1999	1550	202579
2000	1500	235000
